10.2307/2480293	1921	INDEX TO AMERICAN BOTANICAL LITERATURE 1916-1921	BULLETIN OF THE TORREY BOTANICAL CLUB
10.2307/2816048	1960		THE QUARTERLY REVIEW OF BIOLOGY
10.2307/1931706	1957	TWO BOOKS ON BIOSYSTEMATICS AND EVOLUTION IN PLANTS	ECOLOGY
10.2307/2429284	1956	VOLUME INFORMATION	NEW PHYTOLOGIST
10.2307/2429285	1956	FRONT MATTER	NEW PHYTOLOGIST
10.2307/2429288	1956	THE INFLUENCE OF THE BREEDING SYSTEM ON THE GENECOLOGY OF THLASPI ALPESTRE L.	NEW PHYTOLOGIST
10.2307/2429608	1957	THE WITHIN POPULATION VARIANCE IN GENECOLOGICAL TRIALS	NEW PHYTOLOGIST
10.2307/2429354	1957	GENECOLOGICAL STUDIES IN GERANIUM (SECTION ROBERTIANA). GENERAL CONSIDERATIONS AND THE RACES OF G. PURPUREUM VILL.	NEW PHYTOLOGIST
10.2307/1217837	1960	THE "CLASSES" OF RAFINESQUE AND THE MODERN BIOSYSTEMATICS	TAXON
10.2307/2422435	1956	REGIONAL VARIATION PATTERNS IN THE STEMLESS WHITE VIOLETS	AMERICAN MIDLAND NATURALIST
10.2307/25534380	1956		THE IRISH NATURALISTS' JOURNAL
10.2307/2411766	1959	THE PRESENT STATUS OF SYSTEMATIC ZOOLOGY	SYSTEMATIC ZOOLOGY
10.2307/2411767	1959	THE FUTURE OF SYSTEMATIC BOTANY	SYSTEMATIC ZOOLOGY
10.2307/2411765	1959	THE PRESENT STATUS OF PLANT TAXONOMY	SYSTEMATIC ZOOLOGY
10.2307/4117613	1958	DR. W. B. TURRILL	KEW BULLETIN
10.2307/2458766	1960	ECOTYPES AND COMMUNITY FUNCTION	THE AMERICAN NATURALIST
10.2307/1291989	1956	BIOLOGICAL RESEARCH IN THE CARNEGIE INSTITUTION OF WASHINGTON	AIBS BULLETIN
10.2307/4114798	1960	THE PHLOX FAMILY	KEW BULLETIN
