# date	jtitle
0	10.2307/2418718	1976	SYSTEMATIC BOTANY
1	10.2307/2258178	1970	JOURNAL OF ECOLOGY
2	10.2307/3241549	1974	THE BRYOLOGIST
3	10.2307/2416998	1967	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. SERIES B, BIOLOGICAL SCIENCES
4	10.2307/20000814	1974	AREA
5	10.2307/2428935	1946	NEW PHYTOLOGIST
6	10.2307/1934172	1971	ECOLOGY
7	10.2307/1729159	1970	SCIENCE
8	10.2307/2407516	1977	EVOLUTION
9	10.2307/2816048	1960	THE QUARTERLY REVIEW OF BIOLOGY
10	10.2307/4353727	1966	BOTANICAL REVIEW
11	10.2307/1933738	1967	ECOLOGY
12	10.2307/1942372	1966	ECOLOGICAL MONOGRAPHS
13	10.2307/20111528	1980	SYNTHESE
14	10.2307/20165665	1965	BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA
15	10.2307/2418316	1978	SYSTEMATIC BOTANY
16	10.2307/2431463	1969	NEW PHYTOLOGIST
17	10.2307/2430766	1971	NEW PHYTOLOGIST
18	10.2307/2387727	1980	BIOTROPICA
19	10.2307/1931706	1957	ECOLOGY
20	10.2307/2433866	1978	NEW PHYTOLOGIST
21	10.2307/2395059	1974	ANNALS OF THE MISSOURI BOTANICAL GARDEN
22	10.2307/2395192	1974	ANNALS OF THE MISSOURI BOTANICAL GARDEN
23	10.2307/2429054	1946	NEW PHYTOLOGIST
24	10.2307/2424478	1973	AMERICAN MIDLAND NATURALIST
25	10.2307/1709733	1962	SCIENCE
26	10.2307/2473615	1975	BOTANICAL GAZETTE
27	10.2307/23305919	1962	RHODORA
28	10.2307/1729160	1970	SCIENCE
29	10.2307/2257243	1961	JOURNAL OF ECOLOGY
30	10.2307/2258359	1972	JOURNAL OF ECOLOGY
31	10.2307/2418721	1976	SYSTEMATIC BOTANY
32	10.2307/1776	1957	JOURNAL OF ANIMAL ECOLOGY
33	10.2307/2433410	1978	NEW PHYTOLOGIST
34	10.2307/2418714	1976	SYSTEMATIC BOTANY
35	10.2307/1215980	1957	TAXON
36	10.2307/1295635	1970	BIOSCIENCE
37	10.2307/4252740	1966	ECONOMIC BOTANY
38	10.2307/2429288	1956	NEW PHYTOLOGIST
39	10.2307/2432078	1980	NEW PHYTOLOGIST
40	10.2307/2470705	1927	BOTANICAL GAZETTE
41	10.2307/2402630	1978	JOURNAL OF APPLIED ECOLOGY
42	10.2307/2458581	1959	THE AMERICAN NATURALIST
43	10.2307/1216193	1964	TAXON
44	10.2307/1218836	1969	TAXON
45	10.2307/2429608	1957	NEW PHYTOLOGIST
46	10.2307/1218837	1969	TAXON
47	10.2307/1169709	1969	REVIEW OF EDUCATIONAL RESEARCH
48	10.2307/2256969	1957	JOURNAL OF ECOLOGY
49	10.2307/1936871	1979	ECOLOGY
50	10.2307/2429354	1957	NEW PHYTOLOGIST
51	10.2307/2484264	1978	BULLETIN OF THE TORREY BOTANICAL CLUB
52	10.2307/2472455	1948	BOTANICAL GAZETTE
53	10.2307/2472454	1948	BOTANICAL GAZETTE
54	10.2307/27827124	1958	AMERICAN SCIENTIST
55	10.2307/1678996	1951	SCIENCE
56	10.2307/1217837	1960	TAXON
57	10.2307/2423355	1967	AMERICAN MIDLAND NATURALIST
58	10.2307/40025026	1959	JOURNAL OF THE ARIZONA ACADEMY OF SCIENCE
59	10.2307/20166055	1975	BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA
60	10.2307/20166052	1975	BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA
61	10.2307/2406802	1970	EVOLUTION
62	10.2307/2433930	1979	NEW PHYTOLOGIST
63	10.2307/1550331	1974	ARCTIC AND ALPINE RESEARCH
64	10.2307/2429332	1958	NEW PHYTOLOGIST
65	10.2307/2437162	1945	AMERICAN JOURNAL OF BOTANY
66	10.2307/1929740	1953	ECOLOGY
67	10.2307/2431364	1969	NEW PHYTOLOGIST
68	10.2307/1934616	1974	ECOLOGY
69	10.2307/2258202	1970	JOURNAL OF ECOLOGY
70	10.2307/1934458	1968	ECOLOGY
71	10.2307/1929803	1959	ECOLOGY
72	10.2307/2418501	1977	SYSTEMATIC BOTANY
73	10.2307/2407736	1978	EVOLUTION
74	10.2307/2407014	1972	EVOLUTION
75	10.2307/2406077	1961	EVOLUTION
76	10.2307/41423786	1971	MADRONO
77	10.2307/2257966	1966	JOURNAL OF ECOLOGY
78	10.2307/2431441	1969	NEW PHYTOLOGIST
79	10.2307/2404713	1973	JOURNAL OF APPLIED ECOLOGY
80	10.2307/2433800	1977	NEW PHYTOLOGIST
81	10.2307/1741059	1975	SCIENCE
82	10.2307/2825561	1979	THE QUARTERLY REVIEW OF BIOLOGY
83	10.2307/4353229	1940	BOTANICAL REVIEW
84	10.2307/2406876	1968	EVOLUTION
85	10.2307/2483746	1969	BULLETIN OF THE TORREY BOTANICAL CLUB
86	10.2307/2096861	1976	ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS
87	10.2307/2429677	1954	NEW PHYTOLOGIST
88	10.2307/2258924	1973	JOURNAL OF ECOLOGY
89	10.2307/1935582	1973	ECOLOGY
90	10.2307/2401838	1977	JOURNAL OF APPLIED ECOLOGY
91	10.2307/1936386	1978	ECOLOGY
92	10.2307/2434161	1979	NEW PHYTOLOGIST
93	10.2307/2434278	1980	NEW PHYTOLOGIST
94	10.2307/20112079	1971	BULLETINS FROM THE ECOLOGICAL RESEARCH COMMITTEE
95	10.2307/3896365	1968	JOURNAL OF RANGE MANAGEMENT
96	10.2307/2428098	1927	NEW PHYTOLOGIST
97	10.2307/1934044	1970	ECOLOGY
98	10.2307/4353158	1937	BOTANICAL REVIEW
99	10.2307/4353159	1937	BOTANICAL REVIEW
100	10.2307/2440393	1969	AMERICAN JOURNAL OF BOTANY
101	10.2307/1746283	1978	SCIENCE
102	10.2307/2429543	1961	NEW PHYTOLOGIST
103	10.2307/2429542	1961	NEW PHYTOLOGIST
104	10.2307/1936952	1979	ECOLOGY
105	10.2307/3897566	1979	JOURNAL OF RANGE MANAGEMENT
106	10.2307/2429549	1961	NEW PHYTOLOGIST
107	10.2307/1550326	1974	ARCTIC AND ALPINE RESEARCH
108	10.2307/1934296	1972	ECOLOGY
109	10.2307/2459880	1976	THE AMERICAN NATURALIST
110	10.2307/2429374	1964	NEW PHYTOLOGIST
111	10.2307/1218377	1969	TAXON
112	10.2307/2258520	1970	JOURNAL OF ECOLOGY
113	10.2307/2256943	1957	JOURNAL OF ECOLOGY
114	10.2307/2458766	1960	THE AMERICAN NATURALIST
115	10.2307/1740501	1975	SCIENCE
116	10.2307/1712862	1964	SCIENCE
117	10.2307/2433839	1978	NEW PHYTOLOGIST
118	10.2307/1292672	1958	AIBS BULLETIN
119	10.2307/1716858	1965	SCIENCE
120	10.2307/3952046	1967	SCIENCE NEWS
121	10.2307/2442347	1980	AMERICAN JOURNAL OF BOTANY
122	10.2307/1936642	1978	ECOLOGY
123	10.2307/2424833	1978	AMERICAN MIDLAND NATURALIST
124	10.2307/2439815	1966	AMERICAN JOURNAL OF BOTANY
