# doc	doi
0	10.2307/2412409
1	10.2307/25534201
2	10.2307/4353528
3	10.2307/1293232
4	10.2307/1931668
5	10.2307/2429102
6	10.2307/2258770
7	10.2307/1931706
8	10.2307/4110196
9	10.2307/2257417
10	10.2307/769446
11	10.2307/2429288
12	10.2307/4108159
13	10.2307/2259359
14	10.2307/3240708
15	10.2307/2429608
16	10.2307/2439998
17	10.2307/769726
18	10.2307/3224594
19	10.2307/2259059
20	10.2307/2809098
21	10.2307/2257071
22	10.2307/2430278
23	10.2307/2436502
24	10.2307/4180052
25	10.2307/1217837
26	10.2307/1218824
27	10.2307/2472358
28	10.2307/2258111
29	10.2307/2430117
30	10.2307/41422402
31	10.2307/2431281
32	10.2307/41609686
33	10.2307/2422435
34	10.2307/2431284
35	10.2307/25534380
36	10.2307/2438657
37	10.2307/2985070
38	10.2307/2430685
39	10.2307/4353364
40	10.2307/4353713
41	10.2307/2804898
42	10.2307/2804899
43	10.2307/2437873
44	10.2307/2412346
45	10.2307/2483893
46	10.2307/2411766
47	10.2307/2411767
48	10.2307/2411765
49	10.2307/4108935
50	10.2307/4117613
51	10.2307/2458766
52	10.2307/3240710
53	10.2307/4353629
54	10.2307/3881754
55	10.2307/2259137
56	10.2307/2256634
57	10.2307/1935646
58	10.2307/25006179
59	10.2307/1677585
60	10.2307/3242272
61	10.2307/2431624
62	10.2307/2412187
63	10.2307/4114798
64	10.2307/1292150
65	10.2307/1681446
66	10.2307/2438588
67	10.2307/2440677
68	10.2307/1218596
69	10.2307/1942216
70	10.2307/1218213
71	10.2307/1218214
72	10.2307/4108026
73	10.2307/2481896
74	10.2307/1219063
75	10.2307/41422108
76	10.2307/4113904
77	10.2307/2438478
78	10.2307/41422063
79	10.2307/2422045
80	10.2307/2481124
81	10.2307/2438295
82	10.2307/2438294
83	10.2307/2741098
84	10.2307/41422686
85	10.2307/2481513
86	10.2307/2440604
87	10.2307/2259304
88	10.2307/720695
89	10.2307/23305328
90	10.2307/4117344
91	10.2307/4109344
92	10.2307/1217945
93	10.2307/3758164
94	10.2307/2482793
95	10.2307/1215981
96	10.2307/2436427
97	10.2307/4103159
98	10.2307/2429054
99	10.2307/2457972
100	10.2307/2428518
101	10.2307/2428515
102	10.2307/2430948
103	10.2307/2429024
104	10.2307/2428695
105	10.2307/41423522
106	10.2307/1307657
107	10.2307/2458581
108	10.2307/2401482
109	10.2307/2431093
110	10.2307/2418718
111	10.2307/1293133
112	10.2307/2407745
113	10.2307/2411596
114	10.2307/2804900
115	10.2307/3242502
116	10.2307/25534560
117	10.2307/2810953
118	10.2307/4117649
119	10.2307/4606777
120	10.2307/2485022
